target_idx,train_idx,rank
0,179,0
0,241,1
0,250,2
0,156,3
0,164,4
1,15,0
1,25,1
1,35,2
1,39,3
1,7,4
2,122,0
2,101,1
2,205,2
2,8,3
2,73,4
3,16,0
3,153,1
3,20,2
3,19,3
3,14,4
4,31,0
4,49,1
4,36,2
4,9,3
4,5,4
5,15,0
5,25,1
5,35,2
5,39,3
5,7,4
6,243,0
6,46,1
6,164,2
6,156,3
6,12,4
7,214,0
7,17,1
7,55,2
7,281,3
7,95,4
8,30,0
8,107,1
8,2,2
8,50,3
8,175,4
9,243,0
9,46,1
9,164,2
9,12,3
9,156,4
10,14,0
10,16,1
10,153,2
10,20,3
10,19,4
11,13,0
11,267,1
11,2,2
11,52,3
11,30,4
12,281,0
12,214,1
12,234,2
12,153,3
12,10,4
13,31,0
13,49,1
13,9,2
13,36,3
13,5,4
14,135,0
14,59,1
14,180,2
14,37,3
14,38,4
15,13,0
15,267,1
15,52,2
15,30,3
15,107,4
16,15,0
16,25,1
16,35,2
16,39,3
16,7,4
17,127,0
17,182,1
17,172,2
17,113,3
17,84,4
18,214,0
18,17,1
18,55,2
18,95,3
18,281,4
19,157,0
19,48,1
19,142,2
19,171,3
19,108,4
20,16,0
20,19,1
20,153,2
20,20,3
20,14,4
21,31,0
21,49,1
21,9,2
21,5,3
21,36,4
22,83,0
22,95,1
22,17,2
22,55,3
22,214,4
23,56,0
23,75,1
23,215,2
23,40,3
23,207,4
24,4,0
24,23,1
24,100,2
24,38,3
24,180,4
25,179,0
25,241,1
25,250,2
25,156,3
25,164,4
26,30,0
26,107,1
26,2,2
26,50,3
26,175,4
27,52,0
27,267,1
27,6,2
27,13,3
27,177,4
28,77,0
28,202,1
28,92,2
28,87,3
28,145,4
29,14,0
29,16,1
29,153,2
29,19,3
29,20,4
30,122,0
30,205,1
30,101,2
30,8,3
30,73,4
31,26,0
31,180,1
31,21,2
31,42,3
31,38,4
32,40,0
32,207,1
32,215,2
32,56,3
32,75,4
33,179,0
33,241,1
33,250,2
33,164,3
33,156,4
34,13,0
34,267,1
34,30,2
34,52,3
34,107,4
35,87,0
35,145,1
35,202,2
35,92,3
35,77,4
36,157,0
36,142,1
36,48,2
36,171,3
36,108,4
37,281,0
37,234,1
37,10,2
37,214,3
37,32,4
38,2,0
38,30,1
38,107,2
38,267,3
38,13,4
39,157,0
39,48,1
39,142,2
39,171,3
39,108,4
40,44,0
40,175,1
40,263,2
40,50,3
40,74,4
41,21,0
41,26,1
41,180,2
41,42,3
41,38,4
42,15,0
42,25,1
42,35,2
42,39,3
42,7,4
43,100,0
43,26,1
43,4,2
43,23,3
43,42,4
44,122,0
44,177,1
44,205,2
44,52,3
44,267,4
45,14,0
45,153,1
45,16,2
45,20,3
45,19,4
46,164,0
46,241,1
46,179,2
46,250,3
46,243,4
47,50,0
47,74,1
47,175,2
47,263,3
47,44,4
48,14,0
48,234,1
48,16,2
48,10,3
48,153,4
49,31,0
49,49,1
49,9,2
49,36,3
49,5,4
50,5,0
50,31,1
50,49,2
50,9,3
50,36,4
51,260,0
51,43,1
51,175,2
51,263,3
51,122,4
52,52,0
52,177,1
52,267,2
52,6,3
52,13,4
53,281,0
53,234,1
53,10,2
53,214,3
53,32,4
54,214,0
54,17,1
54,55,2
54,281,3
54,95,4
55,15,0
55,25,1
55,35,2
55,39,3
55,7,4
56,180,0
56,38,1
56,26,2
56,37,3
56,21,4
57,243,0
57,46,1
57,12,2
57,156,3
57,164,4
58,214,0
58,17,1
58,55,2
58,281,3
58,95,4
59,101,0
59,8,1
59,73,2
59,122,3
59,205,4
60,157,0
60,142,1
60,48,2
60,171,3
60,108,4
61,7,0
61,112,1
61,179,2
61,241,3
61,250,4
62,14,0
62,153,1
62,16,2
62,20,3
62,19,4
63,101,0
63,8,1
63,73,2
63,122,3
63,205,4
64,4,0
64,100,1
64,23,2
64,180,3
64,38,4
65,31,0
65,49,1
65,36,2
65,9,3
65,5,4
66,50,0
66,175,1
66,263,2
66,52,3
66,74,4
67,214,0
67,17,1
67,55,2
67,153,3
67,95,4
68,260,0
68,175,1
68,263,2
68,177,3
68,43,4
69,15,0
69,25,1
69,35,2
69,39,3
69,7,4
70,9,0
70,31,1
70,49,2
70,36,3
70,5,4
71,127,0
71,182,1
71,113,2
71,172,3
71,84,4
72,175,0
72,263,1
72,50,2
72,74,3
72,2,4
