target_idx,final_set_size,n_from_shared,n_added,added_indices
0,5,0,5,"[2, 20, 22, 27, 216]"
1,5,2,3,"[26, 50, 84]"
2,5,0,5,"[6, 24, 40, 44, 138]"
3,5,0,5,"[17, 22, 28, 29, 51]"
4,18,18,0,[]
5,5,0,5,"[0, 2, 14, 20, 22]"
6,5,0,5,"[3, 4, 16, 23, 75]"
7,5,0,5,"[11, 16, 23, 46, 93]"
8,5,0,5,"[37, 52, 53, 93, 95]"
9,5,0,5,"[11, 16, 23, 46, 93]"
10,5,0,5,"[1, 8, 12, 15, 36]"
11,19,19,0,[]
12,5,2,3,"[110, 121, 162]"
13,7,7,0,[]
14,5,0,5,"[41, 60, 66, 87, 94]"
15,5,0,5,"[1, 8, 12, 15, 36]"
16,19,19,0,[]
17,5,0,5,"[1, 8, 12, 15, 36]"
18,5,0,5,"[1, 8, 12, 15, 36]"
19,5,0,5,"[3, 4, 11, 16, 23]"
20,5,0,5,"[6, 24, 40, 44, 138]"
21,5,0,5,"[32, 154, 170, 190, 231]"
22,5,0,5,"[16, 21, 23, 39, 42]"
23,5,2,3,"[19, 73, 110]"
24,5,0,5,"[0, 2, 17, 20, 22]"
25,5,2,3,"[73, 87, 110]"
26,5,0,5,"[5, 13, 43, 57, 68]"
27,9,9,0,[]
28,9,9,0,[]
29,9,9,0,[]
30,10,10,0,[]
31,5,2,3,"[41, 60, 66]"
32,16,16,0,[]
33,9,9,0,[]
34,5,2,3,"[19, 25, 73]"
35,5,0,5,"[11, 16, 23, 46, 93]"
36,17,17,0,[]
37,17,17,0,[]
38,5,2,3,"[110, 121, 162]"
39,5,0,5,"[1, 8, 12, 15, 36]"
40,5,0,5,"[74, 90, 91, 130, 134]"
41,9,9,0,[]
42,13,13,0,[]
43,5,0,5,"[37, 52, 53, 95, 112]"
44,5,2,3,"[41, 60, 66]"
45,5,0,5,"[5, 13, 43, 72, 137]"
46,5,0,5,"[3, 4, 16, 23, 42]"
47,5,1,4,"[6, 24, 40, 44]"
48,13,13,0,[]
49,5,0,5,"[6, 24, 40, 44, 138]"
50,5,0,5,"[5, 13, 43, 57, 72]"
51,5,0,5,"[0, 2, 17, 20, 22]"
52,9,9,0,[]
53,5,0,5,"[0, 14, 20, 22, 27]"
54,5,2,3,"[73, 159, 161]"
55,5,0,5,"[1, 8, 12, 15, 36]"
56,19,19,0,[]
57,15,15,0,[]
58,9,9,0,[]
59,5,3,2,"[7, 88]"
60,5,0,5,"[17, 22, 28, 29, 51]"
61,5,0,5,"[17, 22, 28, 29, 51]"
62,5,1,4,"[48, 131, 149, 166]"
63,7,7,0,[]
64,9,9,0,[]
65,18,18,0,[]
66,5,2,3,"[110, 121, 162]"
67,5,0,5,"[60, 66, 87, 115, 141]"
68,9,9,0,[]
69,5,0,5,"[10, 11, 21, 23, 31]"
70,5,0,5,"[3, 4, 16, 23, 75]"
71,5,2,3,"[19, 25, 73]"
72,5,0,5,"[1, 8, 12, 15, 36]"
