MAE,RMSE,R2,UNION,PCT_GE_K,MEAN_NEI,METHOD,K,TAU
1.3435875000000008,1.632124158326948,0.07981932252086943,61,82.1917808219178,2.6986301369863015,Baseline-k,3,0.4
1.501363194444445,1.8118575398434342,-0.13400460540826487,44,82.1917808219178,2.6986301369863015,Shared(k),3,0.4
1.2799743055555564,1.6182688040366031,0.09537612105817517,69,72.6027397260274,3.4246575342465753,Baseline-k,4,0.4
1.4202291666666675,1.7628273998316526,-0.07346109099344456,54,72.6027397260274,3.4246575342465753,Shared(k),4,0.4
1.2616631944444456,1.6083983449403783,0.10637778167976786,70,60.273972602739725,4.027397260273973,Baseline-k,5,0.4
1.273829166666668,1.5935268943403855,0.12282646894031402,61,60.273972602739725,4.027397260273973,Shared(k),5,0.4
1.2416430555555569,1.5865139986732277,0.1305301235952051,71,49.31506849315068,4.52054794520548,Baseline-k,6,0.4
1.2741354166666676,1.5919872471986258,0.12452067979775605,66,49.31506849315068,4.52054794520548,Shared(k),6,0.4
1.2139347222222234,1.551682950192039,0.1682885134897938,71,38.35616438356164,4.904109589041096,Baseline-k,7,0.4
1.2184486111111121,1.5536387171643946,0.1661905862375629,70,38.35616438356164,4.904109589041096,Shared(k),7,0.4
1.2025666666666677,1.548794414034493,0.1713821771534566,71,12.32876712328767,5.027397260273973,Baseline-k,8,0.4
1.2025666666666677,1.548794414034493,0.1713821771534566,71,12.32876712328767,5.027397260273973,Shared(k),8,0.4
1.2056104166666677,1.5495600078575182,0.17056277662577757,71,4.10958904109589,5.068493150684931,Baseline-k,9,0.4
1.2056104166666677,1.5495600078575182,0.17056277662577757,71,4.10958904109589,5.068493150684931,Shared(k),9,0.4
1.2067506944444455,1.5499010469869978,0.17019763855387327,71,1.36986301369863,5.082191780821918,Baseline-k,10,0.4
1.2067506944444455,1.5499010469869978,0.17019763855387327,71,1.36986301369863,5.082191780821918,Shared(k),10,0.4
